_id,task,label,difficulty,correct_answer,target_image,presented_images[0],presented_images[1],presented_images[2],presented_images[3],group_order,rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,ppt_id,correct,__v,response.age,response.gender,response.english_first,response.response,participant_response,final_response,correct_response,response.ppt_id_manual
685dd611d28b67cd423fa2ec,production,ski,2,,images/ski.jpg,,,,,PC,235,,,survey-html-form,23,2.1.0,63078,P1750980050505,false,0,,,,a,a,a,ski,
685dd611d28b67cd423fa2ee,production,net,2,,images/net.jpg,,,,,PC,266,,,survey-html-form,24,2.1.0,63346,P1750980050505,false,0,,,,a,a,a,net,
685dd612d28b67cd423fa2f0,production,trumpet,2,,images/trumpet.jpg,,,,,PC,491,,,survey-html-form,25,2.1.0,63840,P1750980050505,false,0,,,,a,a,a,trumpet,
685dd612d28b67cd423fa2f2,production,waterwheel,2,,images/waterwheel.jpg,,,,,PC,615,,,survey-html-form,26,2.1.0,64458,P1750980050505,false,0,,,,a,a,a,waterwheel,
685dd618d28b67cd423fa2f4,comprehension,wheel,0,2,images/wheel.jpg,images/bowl.jpg,images/wheel.jpg,images/meat.jpg,images/fish.jpg,PC,1248,"<h3>Which image shows: ""wheel""?</h3>",1,html-button-response,63,2.1.0,69753,P1750980050505,true,0,,,,,,,,
686d5fe9d749baecad1a7907,,,,,,,,,,,38108,,,survey-html-form,1,2.1.0,41486,P1751998399439,,0,4,male,yes,,,,,test
686d603dd749baecad1a7909,comprehension,ball,0,4,images/ball.jpg,images/peach.jpg,images/snack.jpg,images/pen.jpg,images/ball.jpg,CP,36628,"<h3>Which image shows: ""ball""?</h3>",3,html-button-response,3,2.1.0,126124,P1751998399439,true,0,,,,,,,,
686d6041d749baecad1a790b,comprehension,duck,0,4,images/duck.jpg,images/snake.jpg,images/ladder.jpg,images/tongue.jpg,images/duck.jpg,CP,3391,"<h3>Which image shows: ""duck""?</h3>",3,html-button-response,4,2.1.0,129517,P1751998399439,true,0,,,,,,,,
686d604fd749baecad1a790d,comprehension,fox,1,4,images/fox.jpg,images/reindeer.jpg,images/harmonica.jpg,images/wolf.jpg,images/fox.jpg,CP,10723,"<h3>Which image shows: ""fox""?</h3>",3,html-button-response,6,2.1.0,143536,P1751998399439,true,0,,,,,,,,
686d6050d749baecad1a790f,comprehension,otter,1,4,images/otter.jpg,images/goose.jpg,images/tablecloth.jpg,images/beaver.jpg,images/otter.jpg,CP,1018,"<h3>Which image shows: ""otter""?</h3>",3,html-button-response,7,2.1.0,144556,P1751998399439,true,0,,,,,,,,
686d6051d749baecad1a7911,comprehension,squirrel,1,2,images/squirrel.jpg,images/monkey.jpg,images/squirrel.jpg,images/eagle.jpg,images/shorts.jpg,CP,1011,"<h3>Which image shows: ""squirrel""?</h3>",1,html-button-response,8,2.1.0,145568,P1751998399439,true,0,,,,,,,,
686d6052d749baecad1a7913,comprehension,cake,1,3,images/cake.jpg,images/refrigerator.jpg,images/battery.jpg,images/cake.jpg,images/dessert.jpg,CP,985,"<h3>Which image shows: ""cake""?</h3>",2,html-button-response,9,2.1.0,146556,P1751998399439,true,0,,,,,,,,
686d6053d749baecad1a7915,comprehension,shower,1,2,images/shower.jpg,images/toe.jpg,images/shower.jpg,images/cantaloupe.jpg,images/soap.jpg,CP,902,"<h3>Which image shows: ""shower""?</h3>",1,html-button-response,10,2.1.0,147461,P1751998399439,true,0,,,,,,,,
686d6055d749baecad1a7917,comprehension,freezer,1,4,images/freezer.jpg,images/cooler.jpg,images/nest.jpg,images/binoculars.jpg,images/freezer.jpg,CP,1926,"<h3>Which image shows: ""freezer""?</h3>",3,html-button-response,11,2.1.0,149391,P1751998399439,true,0,,,,,,,,
686d6056d749baecad1a7919,comprehension,sink,1,3,images/sink.jpg,images/stair.jpg,images/knitting.jpg,images/sink.jpg,images/toilet.jpg,CP,967,"<h3>Which image shows: ""sink""?</h3>",2,html-button-response,12,2.1.0,150361,P1751998399439,true,0,,,,,,,,
686d605bd749baecad1a791b,comprehension,pie,1,3,images/pie.jpg,images/pizza.jpg,images/sweater.jpg,images/pie.jpg,images/flashlight.jpg,CP,5103,"<h3>Which image shows: ""pie""?</h3>",2,html-button-response,13,2.1.0,155467,P1751998399439,true,0,,,,,,,,
686d605cd749baecad1a791d,comprehension,sprinkler,1,3,images/sprinkler.jpg,images/flower.jpg,images/sparkler.jpg,images/sprinkler.jpg,images/charcoal.jpg,CP,1107,"<h3>Which image shows: ""sprinkler""?</h3>",2,html-button-response,14,2.1.0,156576,P1751998399439,true,0,,,,,,,,
686d605ed749baecad1a791f,comprehension,lollipop,1,4,images/lollipop.jpg,images/crumb.jpg,images/doorbell.jpg,images/candy.jpg,images/lollipop.jpg,CP,2578,"<h3>Which image shows: ""lollipop""?</h3>",3,html-button-response,15,2.1.0,159156,P1751998399439,true,0,,,,,,,,
686d605fd749baecad1a7921,comprehension,carrot,1,2,images/carrot.jpg,images/phone.jpg,images/carrot.jpg,images/vegetable.jpg,images/bathtub.jpg,CP,834,"<h3>Which image shows: ""carrot""?</h3>",1,html-button-response,16,2.1.0,159993,P1751998399439,true,0,,,,,,,,
686d6062d749baecad1a7923,comprehension,cheese,1,4,images/cheese.jpg,images/hippopotamus.jpg,images/butter.jpg,images/mud.jpg,images/cheese.jpg,CP,3304,"<h3>Which image shows: ""cheese""?</h3>",3,html-button-response,17,2.1.0,163300,P1751998399439,true,0,,,,,,,,
686d6064d749baecad1a7925,comprehension,hamster,1,1,images/hamster.jpg,images/hamster.jpg,images/skirt.jpg,images/tadpole.jpg,images/rabbit.jpg,CP,1073,"<h3>Which image shows: ""hamster""?</h3>",0,html-button-response,18,2.1.0,164376,P1751998399439,true,0,,,,,,,,
686d6065d749baecad1a7927,comprehension,carousel,2,2,images/carousel.jpg,images/melon.jpg,images/carousel.jpg,images/dish.jpg,images/carriage.jpg,CP,1010,"<h3>Which image shows: ""carousel""?</h3>",1,html-button-response,19,2.1.0,165390,P1751998399439,true,0,,,,,,,,
686d6066d749baecad1a7929,comprehension,acorn,2,4,images/acorn.jpg,images/clothesline.jpg,images/coconut.jpg,images/key.jpg,images/acorn.jpg,CP,1156,"<h3>Which image shows: ""acorn""?</h3>",3,html-button-response,20,2.1.0,166548,P1751998399439,true,0,,,,,,,,
686d6069d749baecad1a792b,comprehension,teabag,2,2,images/teabag.jpg,images/braid.jpg,images/teabag.jpg,images/fingerprint.jpg,images/tea.jpg,CP,3168,"<h3>Which image shows: ""teabag""?</h3>",1,html-button-response,21,2.1.0,169719,P1751998399439,true,0,,,,,,,,
686d606bd749baecad1a792d,comprehension,sunflower,2,2,images/sunflower.jpg,images/pineapple.jpg,images/sunflower.jpg,images/pinball.jpg,images/rim.jpg,CP,1730,"<h3>Which image shows: ""sunflower""?</h3>",1,html-button-response,22,2.1.0,171452,P1751998399439,true,0,,,,,,,,
686d606cd749baecad1a792f,comprehension,fan,2,3,images/fan.jpg,images/album.jpg,images/boulder.jpg,images/fan.jpg,images/chipmunk.jpg,CP,1128,"<h3>Which image shows: ""fan""?</h3>",2,html-button-response,23,2.1.0,172582,P1751998399439,true,0,,,,,,,,
686d606dd749baecad1a7931,comprehension,cornbread,2,2,images/cornbread.jpg,images/organ.jpg,images/cornbread.jpg,images/corn.jpg,images/wreath.jpg,CP,931,"<h3>Which image shows: ""cornbread""?</h3>",1,html-button-response,24,2.1.0,173514,P1751998399439,true,0,,,,,,,,
686d606ed749baecad1a7933,comprehension,pump,2,2,images/pump.jpg,images/plug.jpg,images/pump.jpg,images/coat.jpg,images/scarf.jpg,CP,923,"<h3>Which image shows: ""pump""?</h3>",1,html-button-response,25,2.1.0,174441,P1751998399439,true,0,,,,,,,,
686d606fd749baecad1a7935,comprehension,silverware,2,1,images/silverware.jpg,images/silverware.jpg,images/trophy.jpg,images/eggnog.jpg,images/garlic.jpg,CP,1139,"<h3>Which image shows: ""silverware""?</h3>",0,html-button-response,26,2.1.0,175582,P1751998399439,true,0,,,,,,,,
686d6098d749baecad1a7937,comprehension,pitcher,2,2,images/pitcher.jpg,images/medal.jpg,images/pitcher.jpg,images/batter.jpg,images/tumbleweed.jpg,CP,40818,"<h3>Which image shows: ""pitcher""?</h3>",3,html-button-response,27,2.1.0,216402,P1751998399439,false,0,,,,,,,,
686d6099d749baecad1a7939,comprehension,squash,2,3,images/squash.jpg,images/branch.jpg,images/gazelle.jpg,images/squash.jpg,images/pumpkin.jpg,CP,1382,"<h3>Which image shows: ""squash""?</h3>",1,html-button-response,28,2.1.0,217788,P1751998399439,false,0,,,,,,,,
686d609ad749baecad1a793b,comprehension,saddle,2,1,images/saddle.jpg,images/saddle.jpg,images/broccoli.jpg,images/figurine.jpg,images/handle.jpg,CP,819,"<h3>Which image shows: ""saddle""?</h3>",1,html-button-response,29,2.1.0,218610,P1751998399439,false,0,,,,,,,,
686d609bd749baecad1a793d,comprehension,cassette,2,3,images/cassette.jpg,images/tape.jpg,images/hammock.jpg,images/cassette.jpg,images/book.jpg,CP,861,"<h3>Which image shows: ""cassette""?</h3>",1,html-button-response,30,2.1.0,219473,P1751998399439,false,0,,,,,,,,
686d609bd749baecad1a793f,comprehension,koala,2,1,images/koala.jpg,images/koala.jpg,images/panda.jpg,images/bee.jpg,images/backscratcher.jpg,CP,658,"<h3>Which image shows: ""koala""?</h3>",1,html-button-response,31,2.1.0,220135,P1751998399439,false,0,,,,,,,,
686d609cd749baecad1a7941,comprehension,prune,3,4,images/prune.jpg,images/raisin.jpg,images/jukebox.jpg,images/headrest.jpg,images/prune.jpg,CP,710,"<h3>Which image shows: ""prune""?</h3>",1,html-button-response,32,2.1.0,220848,P1751998399439,false,0,,,,,,,,
686d609cd749baecad1a7943,comprehension,tuxedo,3,1,images/tuxedo.jpg,images/tuxedo.jpg,images/suit.jpg,images/moccasin.jpg,images/stroller.jpg,CP,,,,html-button-response,33,2.1.0,220850,P1751998399439,false,0,,,,,,,,
